x,y,z
-0.438428,0.735878,-0.137862
-0.438014,0.735911,-0.137597
-0.437513,0.736188,-0.137423
-0.437102,0.736195,-0.13707
-0.436641,0.735977,-0.136717
-0.43619,0.736204,-0.136377
-0.435724,0.736442,-0.136182
-0.435275,0.736765,-0.135803
-0.434939,0.737215,-0.135551
-0.434549,0.737685,-0.135304
-0.434129,0.738308,-0.13498
-0.433753,0.738846,-0.134676
-0.433427,0.739548,-0.134526
-0.433193,0.740483,-0.134404
-0.432891,0.741358,-0.134251
-0.432484,0.742344,-0.134182
-0.432207,0.743575,-0.13426
-0.431876,0.744555,-0.13428
-0.431497,0.745315,-0.134344
-0.431169,0.74614,-0.134386
-0.430842,0.747389,-0.134587
-0.43057,0.747899,-0.134624
-0.430373,0.749035,-0.134674
-0.43034,0.749763,-0.134451
-0.430284,0.7502,-0.134227
-0.43004,0.751084,-0.134177
-0.429942,0.75153,-0.133781
-0.429731,0.752222,-0.133608
-0.429739,0.752762,-0.133288
-0.42968,0.753091,-0.132998
-0.429635,0.75336,-0.132718
-0.429601,0.753621,-0.13231
-0.429615,0.753773,-0.131859
-0.429633,0.753702,-0.131384
-0.429672,0.753589,-0.130873
-0.429652,0.753872,-0.130521
-0.42961,0.753456,-0.129971
-0.429541,0.753237,-0.12955
-0.42964,0.753184,-0.129316
-0.429657,0.753216,-0.129278
-0.429463,0.753406,-0.129409
-0.429205,0.753822,-0.129748
-0.428866,0.754231,-0.130136
-0.428457,0.755057,-0.130723
-0.428213,0.755215,-0.131057
-0.427765,0.755899,-0.131558
-0.427358,0.756274,-0.131941
-0.426981,0.756751,-0.132274
-0.426649,0.75724,-0.132656
-0.426216,0.757803,-0.132911
-0.425695,0.758749,-0.13325
-0.425388,0.759401,-0.13342
-0.424928,0.760084,-0.133573
-0.424487,0.760679,-0.133535
-0.42402,0.761423,-0.133623
-0.423509,0.76276,-0.133807
-0.423075,0.763637,-0.133791
-0.422778,0.763966,-0.133638
-0.422386,0.765285,-0.133763
-0.422012,0.766212,-0.133805
-0.421674,0.767227,-0.133837
-0.421418,0.768109,-0.133903
-0.421125,0.768943,-0.133931
-0.420877,0.769983,-0.133998
-0.420628,0.771187,-0.133918
-0.42034,0.772597,-0.134088
-0.420152,0.773843,-0.13414
-0.419987,0.775082,-0.134184
-0.41965,0.776758,-0.134352
-0.419513,0.778341,-0.134423
-0.419333,0.780035,-0.134362
-0.419132,0.782338,-0.134674
-0.418983,0.784204,-0.134594
-0.418772,0.786394,-0.134645
-0.418615,0.788928,-0.134643
-0.418581,0.791128,-0.134545
-0.418521,0.793378,-0.134331
-0.41826,0.796043,-0.134244
-0.418342,0.798565,-0.134118
-0.418337,0.801073,-0.133954
-0.418162,0.803854,-0.133841
-0.418124,0.806285,-0.133672
-0.418026,0.808794,-0.133615
-0.417869,0.811647,-0.133523
-0.417633,0.814198,-0.13351
-0.417559,0.817143,-0.133706
-0.417193,0.81988,-0.133931
-0.416975,0.822929,-0.134151
-0.416607,0.825682,-0.13435
-0.416291,0.828715,-0.134582
-0.416085,0.831403,-0.134697
-0.415752,0.834484,-0.134922
-0.415237,0.83737,-0.13499
-0.414774,0.840419,-0.135224
-0.414443,0.843653,-0.135441
-0.413902,0.846783,-0.13571
-0.413251,0.849833,-0.135916
-0.412611,0.852889,-0.136024
-0.412095,0.856107,-0.13625
-0.411707,0.859124,-0.136405
-0.411263,0.862264,-0.136738
-0.410895,0.8654,-0.137072
-0.410463,0.868729,-0.137371
-0.409992,0.872392,-0.137806
-0.409495,0.875986,-0.138273
-0.408795,0.87958,-0.138628
-0.408255,0.883432,-0.13919
-0.407476,0.887127,-0.139607
-0.406874,0.8911,-0.140172
-0.406273,0.894898,-0.140739
-0.40569,0.898712,-0.141225
-0.405122,0.902586,-0.141621
-0.404612,0.90644,-0.142142
-0.404123,0.910184,-0.142387
-0.403681,0.913927,-0.142941
-0.403208,0.917646,-0.143378
-0.402759,0.92129,-0.143741
-0.402291,0.925112,-0.144328
-0.401782,0.928876,-0.144765
-0.401339,0.932793,-0.145366
-0.400793,0.936713,-0.1459
-0.400255,0.94077,-0.146413
-0.399736,0.944995,-0.147117
-0.399246,0.94923,-0.147921
-0.398621,0.95344,-0.148507
-0.398194,0.957739,-0.149085
-0.397644,0.961981,-0.149676
-0.397227,0.966322,-0.150414
-0.396708,0.970488,-0.151026
-0.396348,0.97465,-0.1517
-0.39592,0.978736,-0.152183
-0.395577,0.982735,-0.152767
-0.3954,0.986897,-0.153512
-0.394973,0.990693,-0.153923
-0.394627,0.994507,-0.15447
-0.394369,0.998439,-0.155115
-0.394108,1.002226,-0.155676
-0.393749,1.00598,-0.156249
-0.393507,1.009812,-0.156946
-0.393136,1.013478,-0.157664
-0.392827,1.017128,-0.158417
-0.392504,1.020851,-0.159115
-0.392237,1.024517,-0.159874
-0.391869,1.028136,-0.160805
-0.391602,1.031722,-0.161685
-0.391318,1.035194,-0.162554
-0.39102,1.038763,-0.163404
-0.390753,1.042161,-0.16421
-0.390391,1.045395,-0.165107
-0.390173,1.048726,-0.165978
-0.389859,1.052075,-0.166795
-0.389641,1.055246,-0.167728
-0.38937,1.058437,-0.168596
-0.389181,1.061687,-0.169445
-0.388882,1.064703,-0.170341
-0.388576,1.067876,-0.171264
-0.388457,1.071052,-0.17208
-0.388239,1.074093,-0.173062
-0.387962,1.077232,-0.173982
-0.387821,1.080335,-0.174916
-0.387585,1.083316,-0.17596
-0.387365,1.086283,-0.176963
-0.387192,1.089341,-0.178112
-0.386987,1.092208,-0.179011
-0.386802,1.095119,-0.18011
-0.386625,1.09797,-0.181372
-0.386521,1.100808,-0.182365
-0.386371,1.103568,-0.183598
-0.386158,1.106215,-0.184668
-0.386035,1.108846,-0.185878
-0.385876,1.111424,-0.187021
-0.385762,1.114036,-0.188266
-0.385563,1.116536,-0.189412
-0.385475,1.119063,-0.190651
-0.385332,1.121357,-0.191914
-0.385189,1.123758,-0.193153
-0.385072,1.126132,-0.194333
-0.384997,1.128369,-0.195634
-0.384893,1.130704,-0.196838
-0.384847,1.132921,-0.198111
-0.384769,1.135159,-0.199318
-0.38468,1.137226,-0.200564
-0.384615,1.139383,-0.201714
-0.384579,1.141459,-0.202928
-0.38452,1.143387,-0.204098
-0.384535,1.145449,-0.205231
-0.384479,1.147305,-0.206347
-0.384491,1.14916,-0.207501
