x,y,z
-0.446616,0.736496,-0.195831
-0.446211,0.736574,-0.195915
-0.445786,0.736567,-0.195926
-0.445404,0.736563,-0.19598
-0.445092,0.736615,-0.195989
-0.444826,0.736599,-0.19606
-0.4446,0.736778,-0.195975
-0.444369,0.73686,-0.195947
-0.444222,0.737078,-0.195904
-0.444082,0.73732,-0.195845
-0.44398,0.737677,-0.195823
-0.443886,0.738233,-0.195689
-0.443788,0.738728,-0.195695
-0.443728,0.739281,-0.195729
-0.443658,0.739877,-0.195848
-0.443534,0.740536,-0.195872
-0.443408,0.741143,-0.19604
-0.443291,0.741736,-0.196287
-0.443193,0.742445,-0.196432
-0.443063,0.743085,-0.196671
-0.44294,0.743667,-0.196918
-0.442814,0.744386,-0.197124
-0.442638,0.745355,-0.197428
-0.442443,0.745838,-0.197708
-0.442204,0.746343,-0.197987
-0.442015,0.746807,-0.198254
-0.441843,0.747024,-0.198475
-0.441575,0.747503,-0.198637
-0.441291,0.747842,-0.198777
-0.440985,0.748133,-0.198896
-0.440678,0.748441,-0.198905
-0.440266,0.748964,-0.198733
-0.439915,0.74907,-0.198518
-0.439622,0.749074,-0.198302
-0.439307,0.749073,-0.197997
-0.439101,0.748696,-0.19767
-0.438728,0.748431,-0.197292
-0.438399,0.748087,-0.196761
-0.438286,0.747796,-0.196039
-0.43805,0.747709,-0.195343
-0.43803,0.747165,-0.194717
-0.437838,0.747129,-0.194046
-0.437795,0.746918,-0.193225
-0.437674,0.746876,-0.192469
-0.437433,0.746933,-0.191748
-0.437179,0.747133,-0.19104
-0.436823,0.747243,-0.190477
-0.436536,0.74751,-0.189943
-0.436232,0.747727,-0.189605
-0.435956,0.748064,-0.189377
-0.435596,0.748587,-0.189122
-0.435262,0.748991,-0.188978
-0.434933,0.749461,-0.188775
-0.434612,0.749908,-0.188543
-0.434224,0.750834,-0.188181
-0.434066,0.751154,-0.187616
-0.43391,0.75157,-0.187029
-0.433877,0.752135,-0.186198
-0.433886,0.752534,-0.185312
-0.433892,0.752945,-0.184298
-0.433914,0.753249,-0.183141
-0.434015,0.753409,-0.181915
-0.434171,0.753577,-0.180667
-0.434327,0.753619,-0.179395
-0.434516,0.753641,-0.178199
-0.434708,0.753611,-0.176962
-0.434845,0.753518,-0.175905
-0.434952,0.753382,-0.17491
-0.435091,0.753424,-0.173976
-0.435113,0.753487,-0.173257
-0.435118,0.753654,-0.172646
-0.435036,0.753927,-0.172121
-0.434924,0.75429,-0.171768
-0.434737,0.754722,-0.171549
-0.434532,0.755333,-0.171338
-0.434284,0.756035,-0.171166
-0.434013,0.756773,-0.171149
-0.433701,0.757702,-0.171115
-0.433359,0.758745,-0.171095
-0.432949,0.759769,-0.171138
-0.432464,0.760801,-0.171333
-0.432029,0.762007,-0.171482
-0.431543,0.763378,-0.171711
-0.431031,0.764804,-0.171849
-0.43045,0.766273,-0.172119
-0.429852,0.768066,-0.172266
-0.429261,0.769717,-0.172457
-0.42863,0.771767,-0.172625
-0.42803,0.773628,-0.172816
-0.427373,0.775894,-0.172737
-0.426754,0.778043,-0.172769
-0.426162,0.780434,-0.172549
-0.425513,0.782665,-0.172454
-0.424843,0.785121,-0.172032
-0.424191,0.787612,-0.171619
-0.423607,0.790102,-0.171145
-0.422875,0.792552,-0.170557
-0.422137,0.795164,-0.169996
-0.421416,0.797894,-0.169312
-0.420592,0.80055,-0.168639
-0.419794,0.803283,-0.168112
-0.41892,0.806089,-0.167412
-0.418,0.808902,-0.166876
-0.417043,0.811778,-0.166367
-0.416138,0.814731,-0.165843
-0.41514,0.817706,-0.165328
-0.414082,0.820629,-0.16489
-0.41313,0.823779,-0.164503
-0.412009,0.826999,-0.164197
-0.411081,0.829912,-0.16393
-0.410057,0.833077,-0.163601
-0.409011,0.836182,-0.163373
-0.407977,0.839459,-0.163132
-0.406976,0.842596,-0.163013
-0.405905,0.845833,-0.162673
-0.404842,0.849056,-0.162601
-0.403834,0.852333,-0.162456
-0.402816,0.855567,-0.162226
-0.401841,0.858834,-0.161997
-0.400852,0.862094,-0.161828
-0.39984,0.865404,-0.161644
-0.398859,0.868722,-0.161345
-0.397892,0.872112,-0.161125
-0.396963,0.875625,-0.160843
-0.395991,0.879077,-0.160622
-0.395123,0.882716,-0.160288
-0.394158,0.886437,-0.15994
-0.393157,0.890078,-0.159674
-0.392346,0.893979,-0.15903
-0.391422,0.897834,-0.158593
-0.39054,0.901778,-0.158273
-0.389624,0.905746,-0.157823
-0.388679,0.909824,-0.157391
-0.387796,0.913924,-0.156915
-0.386801,0.918067,-0.156389
-0.385896,0.922324,-0.155744
-0.384914,0.926576,-0.154986
-0.384106,0.930988,-0.154655
-0.383189,0.935281,-0.154236
-0.382237,0.93972,-0.153702
-0.381307,0.944052,-0.153003
-0.380457,0.948529,-0.152556
-0.379534,0.952793,-0.151903
-0.378751,0.957123,-0.151432
-0.37789,0.961448,-0.150988
-0.376978,0.965551,-0.150287
-0.376038,0.969764,-0.149663
-0.375105,0.973886,-0.149194
-0.374224,0.978001,-0.148737
-0.373163,0.982,-0.14811
-0.372149,0.985953,-0.147582
-0.371264,0.990013,-0.147248
-0.370272,0.994016,-0.14693
-0.369192,0.997959,-0.146514
-0.368166,1.002008,-0.146203
-0.367018,1.006012,-0.145866
-0.36606,1.010074,-0.145755
-0.365055,1.014107,-0.145571
-0.364031,1.01827,-0.145499
-0.362825,1.02231,-0.145375
-0.361805,1.02632,-0.145175
-0.360709,1.030389,-0.145082
-0.359555,1.034507,-0.144937
-0.358377,1.038516,-0.144853
-0.35722,1.042665,-0.144719
-0.356058,1.046673,-0.144667
-0.354894,1.050765,-0.144635
